2024-10-17 11:26:46,152 - INFO - Mapping ('2', '2274') to 20002274.tif
2024-10-17 11:26:46,152 - INFO - Mapping ('1', '2208') to 10002208.tif
2024-10-17 11:26:46,152 - INFO - Mapping ('1', '2304') to 10002304.tif
2024-10-17 11:26:46,152 - INFO - Mapping ('1', '2496') to 10002496.tif
2024-10-17 11:26:46,153 - INFO - Mapping ('1', '2512') to 10002512.tif
2024-10-17 11:26:46,153 - INFO - Mapping ('1', '2475') to 10002475.tif
2024-10-17 11:26:46,153 - INFO - Mapping ('1', '2212') to 10002212.tif
2024-10-17 11:26:46,153 - INFO - Mapping ('1', '2498') to 10002498.tif
2024-10-17 11:26:46,153 - INFO - Mapping ('1', '2376') to 10002376.tif
2024-10-17 11:26:46,155 - INFO - Mapping ('1', '2252') to 10002252.tif
2024-10-17 11:26:46,155 - INFO - Mapping ('1', '2398') to 10002398.tif
2024-10-17 11:26:46,155 - INFO - Mapping ('1', '2586') to 10002586.tif
2024-10-17 11:26:46,155 - INFO - Mapping ('1', '2473') to 10002473.tif
2024-10-17 11:26:46,155 - INFO - Mapping ('2', '2243') to 20002243.tif
2024-10-17 11:26:46,156 - INFO - Mapping ('1', '2353') to 10002353.tif
2024-10-17 11:26:46,156 - INFO - Mapping ('1', '2537') to 10002537.tif
2024-10-17 11:26:46,156 - INFO - Mapping ('2', '2299') to 20002299.tif
2024-10-17 11:26:46,156 - INFO - Mapping ('2', '2346') to 20002346.tif
2024-10-17 11:26:46,156 - INFO - Mapping ('2', '2375') to 20002375.tif
2024-10-17 11:26:46,157 - INFO - Mapping ('2', '2383') to 20002383.tif
2024-10-17 11:26:46,157 - INFO - Mapping ('2', '2389') to 20002389.tif
2024-10-17 11:26:46,157 - INFO - Mapping ('2', '2521') to 20002521.tif
2024-10-17 11:26:46,157 - INFO - Mapping ('2', '2545') to 20002545.tif
2024-10-17 11:26:46,157 - INFO - Mapping ('1', '2503') to 10002503.tif
2024-10-17 11:26:46,158 - INFO - Mapping ('1', '2359') to 10002359.tif
2024-10-17 11:26:46,158 - INFO - Mapping ('1', '2354') to 10002354.tif
2024-10-17 11:26:46,158 - INFO - Mapping ('2', '2295') to 20002295.tif
2024-10-17 11:26:46,158 - INFO - Mapping ('1', '2361') to 10002361.tif
2024-10-17 11:26:46,158 - INFO - Mapping ('1', '2603') to 10002603.tif
2024-10-17 11:26:46,159 - INFO - Mapping ('2', '2221') to 20002221.tif
2024-10-17 11:26:46,159 - INFO - Mapping ('1', '2576') to 10002576.tif
2024-10-17 11:26:46,159 - INFO - Mapping ('1', '2418') to 10002418.tif
2024-10-17 11:26:46,160 - INFO - Mapping ('2', '2354') to 20002354.tif
2024-10-17 11:26:46,160 - INFO - Mapping ('1', '2452') to 10002452.tif
2024-10-17 11:26:46,160 - INFO - Mapping ('2', '2409') to 20002409.tif
2024-10-17 11:26:46,160 - INFO - Mapping ('1', '2616') to 10002616.tif
2024-10-17 11:26:46,161 - INFO - Mapping ('2', '2401') to 20002401.tif
2024-10-17 11:26:46,161 - INFO - Mapping ('1', '2551') to 10002551.tif
2024-10-17 11:26:46,161 - INFO - Mapping ('2', '2276') to 20002276.tif
2024-10-17 11:26:46,161 - INFO - Mapping ('2', '2406') to 20002406.tif
2024-10-17 11:26:46,161 - INFO - Mapping ('2', '2381') to 20002381.tif
2024-10-17 11:26:46,162 - INFO - Mapping ('1', '2277') to 10002277.tif
2024-10-17 11:26:46,162 - INFO - Mapping ('1', '2396') to 10002396.tif
2024-10-17 11:26:46,162 - INFO - Mapping ('2', '2371') to 20002371.tif
2024-10-17 11:26:46,162 - INFO - Mapping ('2', '2247') to 20002247.tif
2024-10-17 11:26:46,162 - INFO - Mapping ('1', '2343') to 10002343.tif
2024-10-17 11:26:46,163 - INFO - Mapping ('2', '2374') to 20002374.tif
2024-10-17 11:26:46,163 - INFO - Mapping ('1', '2329') to 10002329.tif
2024-10-17 11:26:46,163 - INFO - Mapping ('2', '2399') to 20002399.tif
2024-10-17 11:26:46,163 - INFO - Mapping ('1', '2550') to 10002550.tif
2024-10-17 11:26:46,164 - INFO - Mapping ('2', '2512') to 20002512.tif
2024-10-17 11:26:46,164 - INFO - Mapping ('2', '2539') to 20002539.tif
